sort_id,common_name,formal_name,iso3,visits
144,Saint Kitts and Nevis,Federation of Saint Kitts and Nevis,KNA,13
159,Somalia,,SOM,13
173,Togo,Togolese Republic,TGO,13
207,New Caledonia,,NCL,13
19,Benin,Republic of Benin,BEN,14
92,Kyrgyzstan,Kyrgyz Republic,KGZ,14
134,Papua New Guinea,Independent State of Papua New Guinea,PNG,14
69,Guinea,Republic of Guinea,GIN,15
96,Lesotho,Kingdom of Lesotho,LSO,16
6,Antigua and Barbuda,,ATG,17
67,Grenada,,GRD,19
116,Mongolia,,MNG,22
154,Sierra Leone,Republic of Sierra Leone,SLE,23
259,Aruba,,ABW,23
18,Belize,,BLZ,24
186,Uzbekistan,Republic of Uzbekistan,UZB,24
240,Guam,Territory of Guam,GUM,27
164,Suriname,Republic of Suriname,SUR,29
146,Saint Vincent and the Grenadines,,VCT,32
93,Laos,Lao People's Democratic Republic,LAO,35
1,Afghanistan,Islamic State of Afghanistan,AFG,37
11,Azerbaijan,Republic of Azerbaijan,AZE,43
8,Armenia,Republic of Armenia,ARM,46
260,Netherlands Antilles,,ANT,49
143,Rwanda,Republic of Rwanda,RWA,50
20,Bhutan,Kingdom of Bhutan,BTN,53
101,Luxembourg,Grand Duchy of Luxembourg,LUX,55
126,Nicaragua,Republic of Nicaragua,NIC,56
104,Malawi,Republic of Malawi,MWI,57
106,Maldives,Republic of Maldives,MDV,57
29,Cambodia,Kingdom of Cambodia,KHM,61
16,Belarus,Republic of Belarus,BLR,62
58,Fiji,Republic of the Fiji Islands,FJI,66
165,Swaziland,Kingdom of Swaziland,SWZ,66
25,Brunei,Negara Brunei Darussalam,BRN,70
15,Barbados,,BRB,71
63,Georgia,Republic of Georgia,GEO,72
191,Yemen,Republic of Yemen,YEM,72
98,Libya,Great Socialist People's Libyan Arab Jamahiriya,LBY,73
151,Senegal,Republic of Senegal,SEN,78
185,Uruguay,Oriental Republic of Uruguay,URY,78
75,Iceland,Republic of Iceland,ISL,82
44,Cuba,Republic of Cuba,CUB,83
135,Paraguay,Republic of Paraguay,PRY,85
114,Moldova,Republic of Moldova,MDA,86
73,Honduras,Republic of Honduras,HND,88
86,Kazakhstan,Republic of Kazakhstan,KAZ,96
102,Macedonia,Republic of Macedonia,MKD,96
71,Guyana,Co-operative Republic of Guyana,GUY,98
22,Bosnia and Herzegovina,,BIH,103
133,Panama,Republic of Panama,PAN,119
121,Namibia,Republic of Namibia,NAM,124
30,Cameroon,Republic of Cameroon,CMR,128
91,Kuwait,State of Kuwait,KWT,131
163,Sudan,Republic of the Sudan,SDN,132
53,El Salvador,Republic of El Salvador,SLV,139
45,Cyprus,Republic of Cyprus,CYP,140
168,Syria,Syrian Arab Republic,SYR,143
13,Bahrain,Kingdom of Bahrain,BHR,146
94,Latvia,Republic of Latvia,LVA,151
108,Malta,Republic of Malta,MLT,152
23,Botswana,Republic of Botswana,BWA,155
21,Bolivia,Republic of Bolivia,BOL,162
41,Costa Rica,Republic of Costa Rica,CRI,170
2,Albania,Republic of Albania,ALB,175
50,Dominican Republic,,DOM,197
170,Tanzania,United Republic of Tanzania,TZA,200
